date/time: ,31/05/2023,08:17 p.m.
Run 1

time	Velocity 2
0,000000	7,630378E-1
0,016667	7,650931E-1
0,033333	7,672018E-1
0,050000	7,699404E-1
0,066667	7,723801E-1
0,083333	7,757007E-1
0,100000	7,789091E-1
0,116667	7,820588E-1
0,133333	7,857264E-1
0,150000	7,888547E-1
0,166667	7,934192E-1
0,183333	7,970387E-1
0,200000	8,011973E-1
0,216667	8,044538E-1
0,233333	8,072779E-1
0,250000	8,102888E-1
0,266667	8,130915E-1
0,283333	8,155472E-1
0,300000	8,181417E-1
0,316667	8,203999E-1
0,333333	8,224819E-1
0,350000	8,237578E-1
0,366667	8,251992E-1
0,383333	8,258132E-1
0,400000	8,263524E-1
0,416667	8,268061E-1
0,433333	8,266620E-1
0,450000	8,261175E-1
0,466667	8,256797E-1
0,483333	8,241636E-1
0,500000	8,229197E-1
0,516667	8,204106E-1
0,533333	8,184514E-1
0,550000	8,154618E-1
0,566667	8,128940E-1
0,583333	8,093119E-1
0,600000	8,060180E-1
0,616667	8,018486E-1
0,633333	7,989445E-1
0,650000	7,955812E-1
0,666667	7,920952E-1
0,683333	7,886839E-1
0,700000	7,858919E-1
0,716667	7,827742E-1
0,733333	7,788771E-1
0,750000	7,761491E-1
0,766667	7,736133E-1
0,783333	7,709654E-1
0,800000	7,691877E-1
0,816667	7,670363E-1
0,833333	7,658778E-1
0,850000	7,647140E-1
0,866667	7,643457E-1
0,883333	7,639987E-1
0,900000	7,644258E-1
0,916667	7,645966E-1
0,933333	7,656109E-1
0,950000	7,669135E-1
0,966667	7,682748E-1
0,983333	7,701059E-1
1,000000	7,725777E-1
1,016667	7,745369E-1
1,033333	7,773610E-1
1,050000	7,798273E-1
1,066667	7,836337E-1
1,083333	7,865645E-1
1,100000	7,892818E-1
1,116667	7,934352E-1
1,133333	7,966329E-1
1,150000	7,995531E-1
1,166667	8,025960E-1
1,183333	8,053400E-1
1,200000	8,085271E-1
1,216667	8,112497E-1
1,233333	8,136307E-1
1,250000	8,158142E-1
1,266667	8,175972E-1
1,283333	8,194497E-1
1,300000	8,204693E-1
1,316667	8,213982E-1
1,333333	8,221670E-1
1,350000	8,223805E-1
1,366667	8,222844E-1
1,383333	8,214249E-1
1,400000	8,207149E-1
1,416667	8,197913E-1
1,433333	8,179923E-1
1,450000	8,165349E-1
1,466667	8,146984E-1
1,483333	8,125790E-1
1,500000	8,096482E-1
1,516667	8,074114E-1
1,533333	8,042723E-1
1,550000	8,016404E-1
1,566667	7,988271E-1
1,583333	7,951542E-1
1,600000	7,926184E-1
1,616667	7,892391E-1
1,633333	7,864471E-1
1,650000	7,838526E-1
1,666667	7,809377E-1
1,683333	7,784393E-1
1,700000	7,763413E-1
1,716667	7,745796E-1
1,733333	7,726737E-1
1,750000	7,707305E-1
1,766667	7,698177E-1
1,783333	7,692251E-1
1,800000	7,684136E-1
1,816667	7,681947E-1
1,833333	7,685631E-1
1,850000	7,689368E-1
1,866667	7,698924E-1
1,883333	7,706665E-1
1,900000	7,721719E-1
1,916667	7,738375E-1
1,933333	7,755245E-1
1,950000	7,779215E-1
1,966667	7,798700E-1
1,983333	7,821282E-1
2,000000	7,849470E-1
2,016667	7,875682E-1
2,033333	7,906325E-1
2,050000	7,933604E-1
2,066667	7,958215E-1
2,083333	7,982985E-1
2,100000	8,010372E-1
2,116667	8,033594E-1
2,133333	8,060714E-1
2,150000	8,078651E-1
2,166667	8,104169E-1
2,183333	8,121466E-1
2,200000	8,137909E-1
2,216667	8,152109E-1
2,233333	8,163747E-1
2,250000	8,176292E-1
2,266667	8,179442E-1
2,283333	8,179069E-1
2,300000	8,179069E-1
2,316667	8,175332E-1
2,333333	8,169352E-1
2,350000	8,158836E-1
2,366667	8,151682E-1
2,383333	8,132250E-1
2,400000	8,120025E-1
2,416667	8,099151E-1
2,433333	8,078812E-1
2,450000	8,058418E-1
2,466667	8,034609E-1
2,483333	8,013895E-1
2,500000	7,982078E-1
2,516667	7,959336E-1
2,533333	7,936380E-1
2,550000	7,910649E-1
2,566667	7,887480E-1
2,583333	7,887480E-1
2,600000	7,887480E-1
2,616667	7,822457E-1
2,633333	7,802704E-1
2,650000	7,785461E-1
2,666667	7,770406E-1
2,683333	7,754177E-1
2,700000	7,746383E-1
2,716667	7,735386E-1
2,733333	7,729300E-1
2,750000	7,725563E-1
2,766667	7,724762E-1
2,783333	7,727485E-1
2,800000	7,730368E-1
2,816667	7,738589E-1
2,833333	7,748625E-1
2,850000	7,760744E-1
2,866667	7,773610E-1
2,883333	7,791600E-1
2,900000	7,809965E-1
2,916667	7,827635E-1
2,933333	7,849523E-1
2,950000	7,867620E-1
2,966667	7,895327E-1
2,983333	7,917802E-1
3,000000	7,939050E-1
3,016667	7,968411E-1
3,033333	7,990032E-1
3,050000	8,009998E-1
3,066667	8,029804E-1
3,083333	8,045926E-1
3,100000	8,067814E-1
3,116667	8,084310E-1
3,133333	8,084310E-1
3,150000	8,084310E-1
3,166667	8,127445E-1
3,183333	8,131502E-1
3,200000	8,139724E-1
3,216667	8,143194E-1
3,233333	8,145062E-1
3,250000	8,145596E-1
3,266667	8,140845E-1
3,283333	8,134492E-1
3,300000	8,125684E-1
3,316667	8,114579E-1
3,333333	8,103742E-1
3,350000	8,088421E-1
3,366667	8,072459E-1
3,383333	8,053507E-1
3,400000	8,037652E-1
3,416667	8,019074E-1
3,433333	7,999321E-1
3,450000	7,974284E-1
3,466667	7,953784E-1
3,483333	7,934672E-1
3,500000	7,913905E-1
3,516667	7,895754E-1
3,533333	7,872799E-1
3,550000	7,857851E-1
3,566667	7,834468E-1
3,583333	7,819627E-1
3,600000	7,808096E-1
3,616667	7,791814E-1
3,633333	7,781671E-1
3,650000	7,774143E-1
3,666667	7,769339E-1
3,683333	7,764267E-1
3,700000	7,761331E-1
3,716667	7,764801E-1
3,733333	7,766189E-1
3,750000	7,772755E-1
3,766667	7,778841E-1
3,783333	7,787970E-1
3,800000	7,801904E-1
3,816667	7,813488E-1
3,833333	7,828916E-1
3,850000	7,843384E-1
3,866667	7,862709E-1
3,883333	7,879579E-1
3,900000	7,897943E-1
3,916667	7,915667E-1
3,933333	7,938142E-1
3,950000	7,955759E-1
3,966667	7,972202E-1
3,983333	7,995584E-1
4,000000	8,013201E-1
4,016667	8,028630E-1
4,033333	8,045766E-1
4,050000	8,059219E-1
4,066667	8,073900E-1
4,083333	8,082282E-1
4,100000	8,094080E-1
4,116667	8,098831E-1
4,133333	8,103262E-1
4,150000	8,109027E-1
4,166667	8,111163E-1
4,183333	8,108173E-1
4,200000	8,104383E-1
4,216667	8,100486E-1
4,233333	8,095788E-1
4,250000	8,084951E-1
4,266667	8,075555E-1
4,283333	8,064504E-1
4,300000	8,050144E-1
4,316667	8,039253E-1
4,333333	8,020889E-1
4,350000	8,006582E-1
4,366667	7,987256E-1
4,383333	7,972575E-1
4,400000	7,957200E-1
4,416667	7,938783E-1
4,433333	7,923515E-1
4,450000	7,923515E-1
4,466667	7,923515E-1
4,483333	7,872265E-1
4,500000	7,853367E-1
4,516667	7,841408E-1
4,533333	7,829824E-1
4,550000	7,820482E-1
4,566667	7,811299E-1
4,583333	7,805213E-1
4,600000	7,801957E-1
4,616667	7,798220E-1
4,633333	7,797579E-1
4,650000	7,798167E-1
4,666667	7,799982E-1
4,683333	7,803025E-1
4,700000	7,810872E-1
4,716667	7,815463E-1
4,733333	7,822937E-1
4,750000	7,833027E-1
4,766667	7,843651E-1
4,783333	7,843651E-1
4,800000	7,843651E-1
4,816667	7,887159E-1
4,833333	7,900345E-1
4,850000	7,912677E-1
4,866667	7,912677E-1
4,883333	7,912677E-1
4,900000	7,963874E-1
4,916667	7,977487E-1
4,933333	7,990620E-1
4,950000	8,003005E-1
4,966667	8,017526E-1
4,983333	8,031939E-1
5,000000	8,045072E-1
5,016667	8,051211E-1
5,033333	8,059913E-1
5,050000	8,069629E-1
5,066667	8,074861E-1
5,083333	8,079452E-1
5,100000	8,081267E-1
5,116667	8,080840E-1
5,133333	8,078438E-1
5,150000	8,075982E-1
5,166667	8,073046E-1
5,183333	8,066213E-1
5,200000	8,059700E-1
5,216667	8,048115E-1
5,233333	8,042350E-1
5,250000	8,028950E-1
5,266667	8,019394E-1
5,283333	8,005621E-1
5,300000	7,992648E-1
5,316667	7,978875E-1
5,333333	7,961845E-1
5,350000	7,949780E-1
5,366667	7,937608E-1
5,383333	7,920899E-1
5,400000	7,909154E-1
5,416667	7,896502E-1
5,433333	7,883583E-1
5,450000	7,873333E-1
5,466667	7,860627E-1
5,483333	7,853901E-1
5,500000	7,846000E-1
5,516667	7,838526E-1
5,533333	7,832386E-1
5,550000	7,828436E-1
5,566667	7,828810E-1
5,583333	7,827208E-1
5,600000	7,828756E-1
5,616667	7,830945E-1
5,633333	7,833454E-1
5,650000	7,837938E-1
5,666667	7,842423E-1
5,683333	7,852406E-1
5,700000	7,858492E-1
5,716667	7,867781E-1
5,733333	7,879152E-1
5,750000	7,886999E-1
5,766667	7,900612E-1
5,783333	7,912037E-1
5,800000	7,925223E-1
5,816667	7,937875E-1
5,833333	7,948285E-1
5,850000	7,963447E-1
5,866667	7,973323E-1
5,883333	7,987149E-1
5,900000	7,996972E-1
5,916667	8,005621E-1
5,933333	8,019020E-1
5,950000	8,025854E-1
5,966667	8,034662E-1
5,983333	8,040161E-1
6,000000	8,045659E-1
6,016667	8,049236E-1
6,033333	8,049450E-1
6,050000	8,049236E-1
6,066667	8,049343E-1
6,083333	8,047795E-1
6,100000	8,045766E-1
6,116667	8,043044E-1
6,133333	8,035730E-1
6,150000	8,028203E-1
6,166667	8,023878E-1
6,183333	8,016832E-1
6,200000	8,008397E-1
6,216667	7,996438E-1
6,233333	7,988751E-1
6,250000	7,979142E-1
6,266667	7,964728E-1
6,283333	7,958322E-1
6,300000	7,946630E-1
6,316667	7,934192E-1
6,333333	7,926451E-1
6,350000	7,913211E-1
6,366667	7,904136E-1
6,383333	7,904136E-1
6,400000	7,904136E-1
6,416667	7,878671E-1
6,433333	7,873760E-1
6,450000	7,867567E-1
6,466667	7,864578E-1
6,483333	7,860414E-1
6,500000	7,857424E-1
6,516667	7,855502E-1
6,533333	7,858972E-1
6,550000	7,860093E-1
6,566667	7,862496E-1
6,583333	7,865538E-1
6,600000	7,869115E-1
6,616667	7,876002E-1
6,633333	7,882088E-1
6,650000	7,887907E-1
6,666667	7,897196E-1
6,683333	7,906271E-1
6,700000	7,912944E-1
6,716667	7,919991E-1
6,733333	7,932590E-1
6,750000	7,942573E-1
6,766667	7,950207E-1
6,783333	7,962219E-1
6,800000	7,969746E-1
6,816667	7,978288E-1
6,833333	7,986135E-1
6,850000	7,995211E-1
6,866667	8,001296E-1
6,883333	8,007489E-1
6,900000	8,012080E-1
6,916667	8,018006E-1
6,933333	8,019661E-1
6,950000	8,021690E-1
6,966667	8,022544E-1
6,983333	8,025427E-1
7,000000	8,023558E-1
7,016667	8,023131E-1
7,033333	8,019127E-1
7,050000	8,017739E-1
7,066667	8,014536E-1
7,083333	8,008717E-1
7,100000	8,003912E-1
7,116667	7,998200E-1
7,133333	7,991100E-1
7,150000	7,984053E-1
7,166667	7,974284E-1
7,183333	7,969159E-1
7,200000	7,961631E-1
7,216667	7,952342E-1
7,233333	7,945082E-1
7,250000	7,939263E-1
7,266667	7,930294E-1
7,283333	7,923034E-1
7,300000	7,916361E-1
7,316667	7,908407E-1
7,333333	7,903442E-1
7,350000	7,899011E-1
7,366667	7,893939E-1
7,383333	7,891911E-1
7,400000	7,886786E-1
7,416667	7,887586E-1
7,433333	7,886679E-1
7,450000	7,885504E-1
7,466667	7,884704E-1
7,483333	7,886465E-1
7,500000	7,890416E-1
7,516667	7,893192E-1
7,533333	7,896075E-1
7,550000	7,901733E-1
7,566667	7,906965E-1
7,583333	7,910062E-1
7,600000	7,914279E-1
7,616667	7,921326E-1
7,633333	7,929120E-1
7,650000	7,933551E-1
7,666667	7,939957E-1
7,683333	7,945776E-1
7,700000	7,949460E-1
7,716667	7,960030E-1
7,733333	7,965689E-1
7,750000	7,970654E-1
7,766667	7,974497E-1
7,783333	7,979836E-1
7,800000	7,985975E-1
7,816667	7,987683E-1
7,833333	7,989765E-1
